代號,名稱,成交,漲跌價,漲跌幅,成交張數,更新日期,5日均線,10日均線,月均線,季均線,半年均線,年均線,二年均線,三年均線,五年均線,十年均線
0061,元大寶滬深,22.82,0.07,0.31,152,12月24日,22.8↘,23.2↘,23↗,22.7↗,22.7↘,23.4↘,21.5↗,20.1↗,18.9↗,17↗
006205,富邦上証,37.09,0.09,0.24,756,12月24日,37↘,37.4↘,37.2↗,36.9↗,36.8↘,37.8↘,35.1↗,33.5↗,31.9↗,28↗
006206,元大上證50,36.14,0.31,0.87,333,12月24日,36↘,36.4↘,36.1↗,35.7↗,35.6↘,37.5↘,35.4↗,34.2↗,32.2↗,
006207,FH滬深,30,0.1,0.33,328,12月24日,29.9↘,30.3↘,30.1↗,29.8↗,29.7↘,30.6↘,28.1↗,26.3↗,24.6↗,
00625K,富邦上証+R,8.66,0,0,0,12月24日,8.72↘,8.76↘,8.63↗,8.57↗,8.57↘,8.8↘,8.22↗,7.75↗,7.26↗,
00632R,元大台灣50反1,5.21,0,0,"69,516",12月24日,5.25↘,5.27↘,5.3↘,5.44↘,5.49↘,5.83↘,7.61↘,9.01↘,10.8↘,
00633L,富邦上証正2,56.4,0.75,1.35,"6,739",12月24日,56↘,57.4↘,56.3↗,55.5↗,55.7↘,63.4↘,57↗,52.3↗,47.6↗,
00634R,富邦上証反1,3.89,-0.04,-1.02,300,12月24日,3.92↗,3.87↗,3.91↘,3.96↘,4.01↗,3.93↘,4.58↘,5.23↘,6.27↘,
00635U,期元大S&P黃金,24,0.01,0.04,534,12月24日,23.9↗,23.8↗,23.8↗,23.9↗,23.9↗,24.2↘,24.4↗,23↗,21.6↗,
00636,國泰中國A50,25.31,0.15,0.6,436,12月24日,25.2↘,25.5↘,25.3↗,25↗,24.9↘,26.4↘,24.5↗,23.2↗,21.5↗,
00636K,國泰中國A50+U,9.12,0.08,0.88,0,12月24日,9.06↗,9.17↘,9.1↗,8.99↗,8.94↘,9.45↘,8.54↗,7.92↗,,
00637L,元大滬深300正2,22.38,0.29,1.31,"52,740",12月24日,22.2↘,22.8↘,22.4↗,22.1↗,22.1↘,25.1↘,22.3↗,20.3↗,18.3↗,
00639,富邦深100,16.53,-0.05,-0.3,535,12月24日,16.5↘,16.8↘,16.8↘,16.5↗,16.5↘,16.8↗,14.9↗,13.2↗,12↗,
00641R,富邦日本反1,10.08,-0.03,-0.3,30,12月24日,10.2↘,10.1↘,10.2↗,10.1↗,10.3↘,10.6↘,12.3↘,13.3↘,14.2↘,
00648R,元大S&P500反1,6.42,-0.01,-0.16,"2,131",12月24日,6.5↘,6.48↘,6.52↘,6.64↘,6.79↘,7.29↘,8.87↘,10.1↘,11.9↘,
