公司代號,公司簡稱,公司名稱
1101,台泥,台灣水泥股份有限公司
1102,亞泥,亞洲水泥股份有限公司
1103,嘉泥,嘉新水泥股份有限公司
1104,環泥,環球水泥股份有限公司
1108,幸福,幸福水泥股份有限公司
1109,信大,信大水泥股份有限公司
1110,東泥,東南水泥股份有限公司
1201,味全,味全食品工業股份有限公司
1203,味王,味王股份有限公司
1210,大成,大成長城企業股份有限公司
1213,大飲,大西洋飲料股份有限公司
1215,卜蜂,台灣卜蜂企業股份有限公司
1216,統一,統一企業股份有限公司
1217,愛之味,愛之味股份有限公司
1218,泰山,泰山企業股份有限公司
1219,福壽,福壽實業股份有限公司
1220,台榮,台榮產業股份有限公司
1225,福懋油,福懋油脂股份有限公司
1227,佳格,佳格食品股份有限公司
1229,聯華,聯華實業投資控股股份有限公司
1231,聯華食,聯華食品工業股份有限公司
1232,大統益,大統益股份有限公司
1233,天仁,天仁茶業股份有限公司
1234,黑松,黑松股份有限公司
1235,興泰,興泰實業股份有限公司
1236,宏亞,宏亞食品股份有限公司
1256,鮮活果汁,鮮活控股股份有限公司
1301,台塑,台灣塑膠工業股份有限公司
1303,南亞,南亞塑膠工業股份有限公司
1304,台聚,台灣聚合化學品股份有限公司
1305,華夏,華夏海灣塑膠股份有限公司
1307,三芳,三芳化學工業股份有限公司
1308,亞聚,亞洲聚合股份有限公司
1309,台達化,台達化學工業股份有限公司
1310,台苯,台灣苯乙烯工業股份有限公司
1312,國喬,國喬石油化學股份有限公司
1313,聯成,聯成化學科技股份有限公司
1314,中石化,中國石油化學工業開發(股)公司
1315,達新,達新工業股份有限公司
1316,上曜,上曜建設開發股份有限公司
1319,東陽,東陽實業廠股份有限公司
1321,大洋,大洋塑膠工業股份有限公司
1323,永裕,永裕塑膠工業股份有限公司
1324,地球,地球綜合工業股份有限公司
1325,恆大,恒大股份有限公司
1326,台化,台灣化學纖維股份有限公司
1337,再生,亞洲塑膠再生資源控股有限公司
1338,廣華,廣華控股有限公司
1339,昭輝,昭輝實業股份有限公司
1340,勝悅,勝悅新材料有限公司
1341,富林,富林塑膠工業(開曼)控股(股)公司
1342,八貫,八貫企業股份有限公司
1402,遠東新,遠東新世紀股份有限公司
1409,新纖,新光合成纖維股份有限公司
1410,南染,南洋染整股份有限公司
1413,宏洲,宏洲纖維工業股份有限公司
1414,東和,東和紡織股份有限公司
1416,廣豐,廣豐實業股份有限公司
1417,嘉裕,嘉裕股份有限公司
1418,東華,東華合纖股份有限公司
1419,新紡,新光紡織股份有限公司
1423,利華,利華羊毛工業股份有限公司
1432,大魯閣,大魯閣實業股份有限公司
1434,福懋,福懋興業股份有限公司
1435,中福,中福國際(股)公司
1436,華友聯,華友聯開發股份有限公司(原福益)
1437,勤益控,勤益投資控股股份有限公司
1438,三地開發,三地開發地產股份有限公司
1439,中和,中和羊毛工業股份有限公司
1440,南紡,臺南紡織股份有限公司
1441,大東,大東紡織股份有限公司
1442,名軒,名軒開發股份有限公司
1443,立益,立益紡織股份有限公司
1444,力麗,力麗企業股份有限公司
1445,大宇,大宇紡織股份有限公司
1446,宏和,宏和精密紡織股份有限公司
1447,力鵬,力鵬企業股份有限公司
1449,佳和,佳和實業股份有限公司
1451,年興,年興紡織股份有限公司
1452,宏益,宏益纖維工業股份有限公司
1453,大將,大將開發股份有限公司
1454,台富,台灣富綢纖維股份有限公司
1455,集盛,集盛實業股份有限公司
1456,怡華,怡華實業股份有限公司
1457,宜進,宜進實業股份有限公司
1459,聯發,聯發紡織纖維股份有限公司
1460,宏遠,宏遠興業股份有限公司
1463,強盛,強盛染整股份有限公司
1464,得力,得力實業股份有限公司
1465,偉全,偉全實業股份有限公司
1466,聚隆,聚隆纖維股份有限公司
1467,南緯,南緯實業股份有限公司
1468,昶和,昶和纖維興業股份有限公司
1470,大統新創,大統新創股份有限公司
1471,首利,首利實業股份有限公司
1472,三洋紡,三洋紡織纖維股份有限公司
1473,台南,台南企業股份有限公司
1474,弘裕,弘裕企業股份有限公司
1475,業旺,台灣業旺股份有限公司
1476,儒鴻,儒鴻企業股份有限公司
1477,聚陽,聚陽實業股份有限公司
1503,士電,士林電機廠股份有限公司
1504,東元,東元電機股份有限公司
1506,正道,正道工業股份有限公司
1507,永大,永大機電工業股份有限公司
1512,瑞利,瑞利企業股份有限公司
1513,中興電,中興電工機械股份有限公司
1514,亞力,亞力電機股份有限公司
1515,力山,力山工業股份有限公司
1516,川飛,川飛能源股份有限公司
1517,利奇,利奇機械工業股份有限公司
1519,華城,華城電機股份有限公司
1521,大億,大億交通工業製造股份有限公司
1522,堤維西,堤維西交通工業股份有限公司
1524,耿鼎,耿鼎企業股份有限公司
1525,江申,江申工業股份有限公司
1526,日馳,日馳企業股份有限公司
1527,鑽全,鑽全實業股份有限公司
1528,恩德,恩德科技股份有限公司
1529,樂士,樂士股份有限公司
1530,亞崴,亞崴機電股份有限公司
1531,高林股,高林股份有限公司
1532,勤美,勤美股份有限公司
1533,車王電,車王電子股份有限公司
1535,中宇,中宇環保工程股份有限公司
1536,和大,和大工業股份有限公司
1537,廣隆,廣隆光電科技股份有限公司
1538,正峰,正峰工業股份有限公司
1539,巨庭,巨庭機械股份有限公司
1540,喬福,喬福機械工業股份有限公司
1541,錩泰,錩泰工業股份有限公司
1558,伸興,伸興工業股份有限公司
1560,中砂,中國砂輪企業股份有限公司
1568,倉佑,倉佑實業股份有限公司
1582,信錦,信錦企業股份有限公司
1583,程泰,程泰機械股份有限公司
1587,吉茂,吉茂精密股份有限公司
1589,永冠,永冠能源科技集團有限公司
1590,亞德客,亞德客國際集團
1592,英瑞,英瑞國際股份有限公司
